Michael,Jordan,198cm, 88kg, University of North Carolina
Curly,Armstrong,180cm, 77kg, Indiana University
Cliff,Barker,188cm, 83kg, University of Kentucky
Leo,Barnhorst,193cm, 86kg, University of Notre Dame
Ed,Bartels,196cm, 88kg, North Carolina State University
Ralph,Beard,178cm, 79kg, University of Kentucky
Gene,Berce,180cm, 79kg, Marquette University
Charlie,Black,196cm, 90kg, University of Kansas
Nelson,Bobb,183cm, 77kg, Temple University
Jake,Bornheimer,196cm, 90kg, Muhlenberg College
Vince,Boryla,196cm, 95kg, University of Denver
Don,Boven,193cm, 95kg, Western Michigan University
Harry,Boykoff,208cm, 102kg, St.John's University
Joe,Bradley,190cm, 79kg, Oklahoma State University
Bob,Brannum,196cm, 97kg, Michigan State University
Carl,Braun,196cm, 81kg, Colgate University
Frankie,Brian,185cm, 81kg, Louisiana State University
Price,Brookfield,193cm, 83kg, West Texas A&M University
Bob,Brown,193cm, 92kg, Miami University
Jim,Browne,208cm, 106kg, n/a
